Laugh,Condition,TotalDuration,VoicedDuration,MeanInterVoicingInterval,PitchLogMean,PitchLogSD,PitchLogMedian,PitchLogIQR,PitchLogCV,PitchLogTkeoMean,PitchLogTkeoSD,PitchLogTkeoPrc5,PitchLogTkeoPrc25,PitchLogTkeoPrc95,PitchLogRR,PitchLogL,PitchLogLMAX,IntensityMean,IntensitySD,IntensityMedian,IntensityIQR,IntensityCV,IntensityTkeoMean,IntensityTkeoSD,IntensityTkeoPrc5,IntensityTkeoPrc25,IntensityTkeoPrc95,IntensityRR,IntensityL,IntensityLMAX,HNRMean,HNRSD,HNRMedian,HNRIQR,HNRCV,Austria,Canada,China,EcuadorShuar,India,Indonesia,Iran,Japan,Korea,Netherlands,Perurural,Peruurban,Qatar,Samoa,Singapore,Slovakia,SouthAfrica,Spain,Turkey,USA,TruthRatio,UnvoicedDuration
405,Volitional,1.515,0.72,0.332,8.243371204,0.147513047,8.249492747,0.192744297,4.27E-05,0.000200676,0.001467288,-0.000205316,-4.31E-06,1.00E-05,0.00943202,3.31111,7,71.24035556,5.73827009,71.61,9.69,0.000259657,3.39E-06,1.91E-05,-3.69E-06,-4.41E-07,5.26E-07,0.331729,30.4293,138,0.416447269,0.329694639,0.440094264,0.480996631,8.162665436,0.79,0.93,0.48,0.39,0.68,0.56,0.69,0.72,0.81,0.77,0.84,0.63,0.81,0.5,0.75,0.69,0.64,0.69,0.76,0.83,0.698,0.795
410,Volitional,1.785,0.75,0.186,8.329357515,0.19942628,8.35411712,0.315612407,1.44E-05,9.05E-05,0.000930793,-7.44E-05,-7.11E-06,8.38E-06,0.0077312,4.96855,46,77.83955078,6.265683976,79.4,10.08,0.000132154,1.79E-06,1.29E-05,-2.83E-06,-2.13E-07,2.21E-07,0.234269,25.574,175,0.693243046,0.438647143,0.700266501,0.667366444,8.193621639,0.72,0.67,0.82,0.67,0.59,0.64,0.82,0.7,0.76,0.74,0.68,0.53,0.81,0.6,0.8,0.7,0.54,0.77,0.62,0.81,0.6995,1.035
413,Volitional,1.611,0.68,0.164,7.962383428,0.143287821,7.937932839,0.191263151,2.68E-05,0.000140093,0.001310978,-9.55E-05,-4.66E-06,4.88E-06,0.00906667,3.07,10,78.28810127,3.735029572,78.37,2.985,4.83E-05,1.95E-06,1.59E-05,-2.09E-06,-1.72E-07,1.82E-07,0.354315,33.3246,115,0.467953967,0.503467314,0.363930914,0.765711385,15.47543642,0.34,0.53,0.3,0.45,0.26,0.26,0.26,0.16,0.12,0.21,0.19,0.17,0.23,0.31,0.3,0.25,0.22,0.29,0.28,0.17,0.265,0.931
414,Volitional,1.455,0.7,0.285,8.60207166,0.201184233,8.665691217,0.375649024,1.74E-05,0.00013027,0.001208611,-6.07E-05,-6.14E-06,7.05E-06,0.0114158,3.29762,16,80.53600733,3.802841888,80.48,3.8,5.10E-05,2.19E-06,1.59E-05,-2.44E-06,-3.21E-07,3.32E-07,0.340265,27.5835,137,0.552828293,0.753911993,0.680439228,1.284357215,140.6456467,0.24,0.3,0.36,0.33,0.21,0.18,0.13,0.25,0.4,0.23,0.16,0.3,0.19,0.17,0.4,0.21,0.11,0.31,0.21,0.23,0.246,0.755
422,Volitional,2.019,1.11,0.21,7.973971821,0.116529717,7.98088216,0.126277516,9.41E-06,0.000101233,0.001097488,-7.26E-05,-6.83E-06,7.20E-06,0.0095899,5.66917,76,78.46944321,5.902958164,78.81,8.13,2.70E-05,1.38E-06,1.39E-05,-1.12E-06,-1.80E-07,1.96E-07,0.267416,31.0589,255,0.497688976,0.658315301,0.301396515,1.248355007,8.724661917,0.1,0.17,0.09,0.24,0.12,0.21,0.03,0.05,0.05,0.02,0.1,0.13,0,0.19,0.15,0.07,0.09,0.06,0,0.06,0.0965,0.909
424,Volitional,2.676,1.39,0.216,8.216990928,0.232520342,8.266739699,0.348851032,2.55E-05,7.87E-05,0.00082168,-9.34E-05,0,0,0.00838662,3.66667,32,72.74989811,6.594294943,73.37,9.5425,0.000192896,1.76E-06,1.30E-05,-2.56E-06,-2.66E-07,2.76E-07,0.219201,23.7654,167,0.427886923,0.481986542,0.307873809,0.62340742,9.758521494,0.41,0.6,0.52,0.27,0.56,0.54,0.46,0.37,0.26,0.47,0.35,0.57,0.52,0.6,0.5,0.58,0.54,0.54,0.34,0.48,0.474,1.286
428,Volitional,2.478,0.99,0.288,8.089326342,0.191835585,8.091382491,0.250882016,1.18E-05,9.13E-05,0.000981691,-8.70E-05,-8.47E-06,9.80E-06,0.00836747,4.34231,49,78.73300175,8.098370901,82.94,13.52,0.000212466,1.62E-06,1.13E-05,-2.50E-06,-1.01E-07,1.06E-07,0.280851,42.0925,325,0.614914012,0.688675052,0.667787122,1.181924854,8.068344077,0.66,0.5,0.58,0.15,0.38,0.33,0.33,0.53,0.57,0.53,0.39,0.57,0.32,0.29,0.58,0.55,0.39,0.31,0.52,0.58,0.453,1.488
430,Volitional,3.399,1.24,0.374,8.30565593,0.134452101,8.327956767,0.16399501,1.08E-05,7.02E-05,0.000796455,-8.24E-05,-2.44E-06,2.74E-06,0.00889903,4.18222,55,75.82873278,8.428632092,77.02,15.81,0.000433657,1.98E-06,1.11E-05,-2.97E-06,-2.87E-07,3.01E-07,0.2321,28.4933,185,0.475609949,0.510135853,0.367595917,0.750681398,23.12070527,0.9,0.93,0.85,0.85,0.79,0.95,0.9,0.81,0.91,0.88,0.84,0.97,1,0.76,0.9,0.8,0.95,0.97,0.83,0.9,0.8845,2.159
431,Volitional,1.458,0.67,0.373,8.818691507,0.133979559,8.819859747,0.172965318,2.32E-05,0.000131679,0.001135694,-6.52E-05,-6.69E-06,7.49E-06,0.0114601,3.67606,16,76.12082397,4.904243988,77.64,7.01,0.000225004,2.82E-06,1.80E-05,-3.48E-06,-4.15E-07,4.78E-07,0.316328,26.8792,144,0.403235157,0.499816039,0.307261515,0.880745112,9.869577185,0.76,0.8,0.76,0.55,0.59,0.87,0.64,0.79,0.9,0.81,0.68,0.83,0.84,0.5,0.85,0.73,0.6,0.86,0.76,0.83,0.7475,0.788
433,Volitional,3.366,1.3,0.332,8.082848565,0.161080056,8.065389206,0.197644386,1.13E-05,6.81E-05,0.000736666,-8.94E-05,-6.79E-06,6.98E-06,0.00358625,3.63636,28,77.12295964,4.299581921,76.98,6.68,2.43E-05,1.07E-06,1.00E-05,-1.61E-06,-2.39E-07,2.44E-07,0.336997,32.3694,453,0.510012377,0.438687835,0.515127189,0.642786395,7440.016111,0.03,0,0.03,0.24,0.12,0.03,0.03,0,0,0,0.03,0.03,0.13,0.14,0.03,0.06,0.04,0.03,0,0.02,0.0495,2.066
435,Volitional,1.002,0.55,0.313,8.27383891,0.096449431,8.272956308,0.107427832,7.38E-06,0.000127641,0.001208326,-8.47E-05,-4.85E-06,7.07E-06,0.00896645,4.82143,19,85.56808081,2.692895938,86.32,4.05,1.35E-05,1.38E-06,1.15E-05,-1.48E-06,-1.03E-07,1.17E-07,0.517385,33.716,288,1.061365886,0.434423683,1.068192475,0.561698724,1.478488046,0.14,0.3,0.3,0.27,0.15,0.18,0.23,0.19,0.07,0.02,0.1,0.37,0.06,0.19,0.15,0.3,0.09,0.34,0.14,0.1,0.1845,0.452
438,Volitional,2.106,0.82,0.412,7.99321663,0.128662436,8.006802924,0.190536566,1.90E-05,0.00010995,0.001041895,-0.000111123,-8.30E-06,8.52E-06,0.00522873,2.90741,10,81.96431818,5.590113547,82.75,7.07,0.000174434,2.01E-06,1.33E-05,-2.66E-06,-2.41E-07,3.06E-07,0.294089,25.226,141,0.700444521,0.524881154,0.698945748,0.90203632,12.23861521,0.03,0.23,0.18,0.33,0.35,0.18,0.05,0.02,0.03,0.12,0.26,0.2,0.23,0.07,0.23,0.27,0.14,0.11,0,0.06,0.1545,1.286
440,Volitional,1.749,0.81,0.309,7.819294425,0.203869583,7.793895883,0.240143898,8.95E-06,0.000107247,0.001138901,-9.08E-05,-8.27E-06,8.92E-06,0.00979216,4.51163,46,76.70629139,5.704582029,76.25,7.52,0.000243381,1.81E-06,1.25E-05,-2.08E-06,-2.21E-07,2.46E-07,0.278878,29.3818,330,1.054133146,0.7194931,1.202108974,1.205358698,1.703766436,0.03,0.37,0.06,0.24,0.24,0.1,0.1,0.21,0.12,0.16,0.1,0.03,0.06,0.29,0.18,0.28,0.07,0.11,0.21,0.02,0.149,0.939
441,Volitional,2.241,0.98,0.341,7.799703319,0.137639816,7.836934011,0.155981792,2.75E-05,0.000148961,0.001297775,-0.00010278,-9.05E-06,1.09E-05,0.00490061,2.56863,6,75.0915142,6.613331346,75,10.6875,0.000297844,2.94E-06,1.77E-05,-3.54E-06,-6.73E-07,7.68E-07,0.357404,47.4627,174,0.402134081,0.551047437,0.376607514,0.937743965,8.672482388,0.72,0.57,0.61,0.21,0.35,0.36,0.51,0.72,0.67,0.72,0.19,0.53,0.61,0.33,0.78,0.58,0.46,0.83,0.66,0.77,0.559,1.261
500,Volitional,2.118,0.95,0.181,7.747568284,0.174282724,7.720278465,0.202891621,7.65E-06,7.89E-05,0.000914647,-7.66E-05,-6.38E-06,6.83E-06,0.00752343,3.94576,45,77.4652488,3.790521928,76.82,5.93,1.11E-05,1.09E-06,1.09E-05,-1.28E-06,-2.16E-07,2.23E-07,0.37512,40.157,532,0.724910473,0.502195327,0.762476779,0.782289579,149.4356881,0.03,0.1,0,0.18,0.06,0.08,0.03,0.04,0,0,0.03,0,0.06,0.29,0.1,0.06,0.05,0,0.03,0,0.057,1.168
502,Volitional,1.917,1.02,0.294,8.436437667,0.277474501,8.430327094,0.45883935,7.94E-06,9.02E-05,0.000931715,-8.35E-05,-8.31E-06,1.01E-05,0.00774683,4.91912,43,78.08057732,5.25357856,79.42,8.18,7.82E-05,1.83E-06,1.15E-05,-3.22E-06,-3.14E-07,3.33E-07,0.291425,25.1335,145,0.554301874,0.537277577,0.620491018,0.743308859,42.98892627,0.07,0.73,0.45,0.48,0.5,0.54,0.15,0.26,0.29,0.14,0.16,0.33,0.23,0.33,0.33,0.2,0.27,0.29,0.1,0.17,0.301,0.897
