Subject,Trial,Response,Condition,Hit,FA,Sex,CtryCode,Country,UniqSub,LaughFile,LangCode,EngFluency,MM,MM_Eng,Education,GenderSeg,CommScale,EconMode
203,17,0,1,0,0,0,1,Singapore,1203,C6 P2 10,1,5,5,4,3,1,5,4
203,18,0,1,0,0,0,1,Singapore,1203,C8 P1 29,1,5,5,4,3,1,5,4
203,19,0,0,1,0,0,1,Singapore,1203,L396-1,1,5,5,4,3,1,5,4
203,20,0,0,1,0,0,1,Singapore,1203,L402-2,1,5,5,4,3,1,5,4
203,21,1,0,0,1,0,1,Singapore,1203,L405-2,1,5,5,4,3,1,5,4
203,22,1,0,0,1,0,1,Singapore,1203,L410-2,1,5,5,4,3,1,5,4
203,23,0,0,1,0,0,1,Singapore,1203,L413-1,1,5,5,4,3,1,5,4
203,24,0,0,1,0,0,1,Singapore,1203,L414-2,1,5,5,4,3,1,5,4
203,25,0,0,1,0,0,1,Singapore,1203,L422-2,1,5,5,4,3,1,5,4
203,26,0,0,1,0,0,1,Singapore,1203,L424-1,1,5,5,4,3,1,5,4
203,27,0,0,1,0,0,1,Singapore,1203,L428-1,1,5,5,4,3,1,5,4
203,28,1,0,0,1,0,1,Singapore,1203,L430-1,1,5,5,4,3,1,5,4
203,29,1,0,0,1,0,1,Singapore,1203,L431-1,1,5,5,4,3,1,5,4
203,30,0,0,1,0,0,1,Singapore,1203,L433-1,1,5,5,4,3,1,5,4
203,31,0,0,1,0,0,1,Singapore,1203,L435-1,1,5,5,4,3,1,5,4
203,32,0,0,1,0,0,1,Singapore,1203,L438-1,1,5,5,4,3,1,5,4
203,33,0,0,1,0,0,1,Singapore,1203,L440-1,1,5,5,4,3,1,5,4
203,34,0,0,1,0,0,1,Singapore,1203,L441-1,1,5,5,4,3,1,5,4
203,35,0,0,1,0,0,1,Singapore,1203,L500-1x,1,5,5,4,3,1,5,4
203,36,0,0,1,0,0,1,Singapore,1203,L502-1,1,5,5,4,3,1,5,4
204,1,0,1,0,0,1,1,Singapore,1204,C10 P2 17,1,5,5,4,3,1,5,4
204,2,1,1,1,0,1,1,Singapore,1204,C2 P1 3,1,5,5,4,3,1,5,4
204,3,1,1,1,0,1,1,Singapore,1204,C2 P2 6,1,5,5,4,3,1,5,4
204,4,1,1,1,0,1,1,Singapore,1204,C23 P2 3,1,5,5,4,3,1,5,4
204,5,1,1,1,0,1,1,Singapore,1204,C28 P1 1,1,5,5,4,3,1,5,4
204,6,0,1,0,0,1,1,Singapore,1204,C29 P1 9,1,5,5,4,3,1,5,4
204,7,1,1,1,0,1,1,Singapore,1204,C29 P2 10,1,5,5,4,3,1,5,4
204,8,1,1,1,0,1,1,Singapore,1204,C3 P1 11,1,5,5,4,3,1,5,4
204,9,1,1,1,0,1,1,Singapore,1204,C3 P2 21,1,5,5,4,3,1,5,4
204,10,0,1,0,0,1,1,Singapore,1204,C33 P2 3,1,5,5,4,3,1,5,4
204,11,1,1,1,0,1,1,Singapore,1204,C34 P2 6,1,5,5,4,3,1,5,4
204,12,1,1,1,0,1,1,Singapore,1204,C39 P1 17,1,5,5,4,3,1,5,4
204,13,1,1,1,0,1,1,Singapore,1204,C39 P2 10,1,5,5,4,3,1,5,4
204,14,0,1,0,0,1,1,Singapore,1204,C4 P1 16,1,5,5,4,3,1,5,4
204,15,1,1,1,0,1,1,Singapore,1204,C4 P2 9,1,5,5,4,3,1,5,4
204,16,1,1,1,0,1,1,Singapore,1204,C5 P2 5,1,5,5,4,3,1,5,4
204,17,1,1,1,0,1,1,Singapore,1204,C6 P2 10,1,5,5,4,3,1,5,4
204,18,0,1,0,0,1,1,Singapore,1204,C8 P1 29,1,5,5,4,3,1,5,4
204,19,0,0,1,0,1,1,Singapore,1204,L396-1,1,5,5,4,3,1,5,4
204,20,1,0,0,1,1,1,Singapore,1204,L402-2,1,5,5,4,3,1,5,4
204,21,1,0,0,1,1,1,Singapore,1204,L405-2,1,5,5,4,3,1,5,4
204,22,1,0,0,1,1,1,Singapore,1204,L410-2,1,5,5,4,3,1,5,4
204,23,0,0,1,0,1,1,Singapore,1204,L413-1,1,5,5,4,3,1,5,4
204,24,0,0,1,0,1,1,Singapore,1204,L414-2,1,5,5,4,3,1,5,4
204,25,0,0,1,0,1,1,Singapore,1204,L422-2,1,5,5,4,3,1,5,4
204,26,1,0,0,1,1,1,Singapore,1204,L424-1,1,5,5,4,3,1,5,4
204,27,0,0,1,0,1,1,Singapore,1204,L428-1,1,5,5,4,3,1,5,4
204,28,1,0,0,1,1,1,Singapore,1204,L430-1,1,5,5,4,3,1,5,4
204,29,1,0,0,1,1,1,Singapore,1204,L431-1,1,5,5,4,3,1,5,4
204,30,0,0,1,0,1,1,Singapore,1204,L433-1,1,5,5,4,3,1,5,4
204,31,0,0,1,0,1,1,Singapore,1204,L435-1,1,5,5,4,3,1,5,4
204,32,0,0,1,0,1,1,Singapore,1204,L438-1,1,5,5,4,3,1,5,4
204,33,0,0,1,0,1,1,Singapore,1204,L440-1,1,5,5,4,3,1,5,4
204,34,1,0,0,1,1,1,Singapore,1204,L441-1,1,5,5,4,3,1,5,4
204,35,0,0,1,0,1,1,Singapore,1204,L500-1x,1,5,5,4,3,1,5,4
204,36,1,0,0,1,1,1,Singapore,1204,L502-1,1,5,5,4,3,1,5,4
205,1,0,1,0,0,1,1,Singapore,1205,C10 P2 17,1,5,5,4,3,1,5,4
205,2,1,1,1,0,1,1,Singapore,1205,C2 P1 3,1,5,5,4,3,1,5,4
205,3,1,1,1,0,1,1,Singapore,1205,C2 P2 6,1,5,5,4,3,1,5,4
205,4,0,1,0,0,1,1,Singapore,1205,C23 P2 3,1,5,5,4,3,1,5,4
205,5,1,1,1,0,1,1,Singapore,1205,C28 P1 1,1,5,5,4,3,1,5,4
205,6,1,1,1,0,1,1,Singapore,1205,C29 P1 9,1,5,5,4,3,1,5,4
205,7,0,1,0,0,1,1,Singapore,1205,C29 P2 10,1,5,5,4,3,1,5,4
205,8,1,1,1,0,1,1,Singapore,1205,C3 P1 11,1,5,5,4,3,1,5,4
205,9,1,1,1,0,1,1,Singapore,1205,C3 P2 21,1,5,5,4,3,1,5,4
205,10,1,1,1,0,1,1,Singapore,1205,C33 P2 3,1,5,5,4,3,1,5,4
205,11,0,1,0,0,1,1,Singapore,1205,C34 P2 6,1,5,5,4,3,1,5,4
205,12,1,1,1,0,1,1,Singapore,1205,C39 P1 17,1,5,5,4,3,1,5,4
205,13,0,1,0,0,1,1,Singapore,1205,C39 P2 10,1,5,5,4,3,1,5,4
205,14,1,1,1,0,1,1,Singapore,1205,C4 P1 16,1,5,5,4,3,1,5,4
205,15,1,1,1,0,1,1,Singapore,1205,C4 P2 9,1,5,5,4,3,1,5,4
205,16,1,1,1,0,1,1,Singapore,1205,C5 P2 5,1,5,5,4,3,1,5,4
205,17,0,1,0,0,1,1,Singapore,1205,C6 P2 10,1,5,5,4,3,1,5,4
205,18,0,1,0,0,1,1,Singapore,1205,C8 P1 29,1,5,5,4,3,1,5,4
205,19,0,0,1,0,1,1,Singapore,1205,L396-1,1,5,5,4,3,1,5,4
205,20,1,0,0,1,1,1,Singapore,1205,L402-2,1,5,5,4,3,1,5,4
205,21,0,0,1,0,1,1,Singapore,1205,L405-2,1,5,5,4,3,1,5,4
205,22,1,0,0,1,1,1,Singapore,1205,L410-2,1,5,5,4,3,1,5,4
205,23,0,0,1,0,1,1,Singapore,1205,L413-1,1,5,5,4,3,1,5,4
205,24,1,0,0,1,1,1,Singapore,1205,L414-2,1,5,5,4,3,1,5,4
205,25,0,0,1,0,1,1,Singapore,1205,L422-2,1,5,5,4,3,1,5,4
205,26,0,0,1,0,1,1,Singapore,1205,L424-1,1,5,5,4,3,1,5,4
205,27,1,0,0,1,1,1,Singapore,1205,L428-1,1,5,5,4,3,1,5,4
205,28,1,0,0,1,1,1,Singapore,1205,L430-1,1,5,5,4,3,1,5,4
205,29,1,0,0,1,1,1,Singapore,1205,L431-1,1,5,5,4,3,1,5,4
205,30,0,0,1,0,1,1,Singapore,1205,L433-1,1,5,5,4,3,1,5,4
205,31,0,0,1,0,1,1,Singapore,1205,L435-1,1,5,5,4,3,1,5,4
205,32,0,0,1,0,1,1,Singapore,1205,L438-1,1,5,5,4,3,1,5,4
205,33,0,0,1,0,1,1,Singapore,1205,L440-1,1,5,5,4,3,1,5,4
205,34,1,0,0,1,1,1,Singapore,1205,L441-1,1,5,5,4,3,1,5,4
205,35,0,0,1,0,1,1,Singapore,1205,L500-1x,1,5,5,4,3,1,5,4
205,36,1,0,0,1,1,1,Singapore,1205,L502-1,1,5,5,4,3,1,5,4
206,1,0,1,0,0,0,1,Singapore,1206,C10 P2 17,1,5,5,4,3,1,5,4
206,2,1,1,1,0,0,1,Singapore,1206,C2 P1 3,1,5,5,4,3,1,5,4
206,3,0,1,0,0,0,1,Singapore,1206,C2 P2 6,1,5,5,4,3,1,5,4
206,4,1,1,1,0,0,1,Singapore,1206,C23 P2 3,1,5,5,4,3,1,5,4
206,5,1,1,1,0,0,1,Singapore,1206,C28 P1 1,1,5,5,4,3,1,5,4
206,6,1,1,1,0,0,1,Singapore,1206,C29 P1 9,1,5,5,4,3,1,5,4
206,7,1,1,1,0,0,1,Singapore,1206,C29 P2 10,1,5,5,4,3,1,5,4
206,8,1,1,1,0,0,1,Singapore,1206,C3 P1 11,1,5,5,4,3,1,5,4
206,9,1,1,1,0,0,1,Singapore,1206,C3 P2 21,1,5,5,4,3,1,5,4
206,10,1,1,1,0,0,1,Singapore,1206,C33 P2 3,1,5,5,4,3,1,5,4
206,11,1,1,1,0,0,1,Singapore,1206,C34 P2 6,1,5,5,4,3,1,5,4
206,12,1,1,1,0,0,1,Singapore,1206,C39 P1 17,1,5,5,4,3,1,5,4
206,13,1,1,1,0,0,1,Singapore,1206,C39 P2 10,1,5,5,4,3,1,5,4
206,14,0,1,0,0,0,1,Singapore,1206,C4 P1 16,1,5,5,4,3,1,5,4
206,15,1,1,1,0,0,1,Singapore,1206,C4 P2 9,1,5,5,4,3,1,5,4
206,16,0,1,0,0,0,1,Singapore,1206,C5 P2 5,1,5,5,4,3,1,5,4
206,17,0,1,0,0,0,1,Singapore,1206,C6 P2 10,1,5,5,4,3,1,5,4
206,18,0,1,0,0,0,1,Singapore,1206,C8 P1 29,1,5,5,4,3,1,5,4
206,19,0,0,1,0,0,1,Singapore,1206,L396-1,1,5,5,4,3,1,5,4
206,20,0,0,1,0,0,1,Singapore,1206,L402-2,1,5,5,4,3,1,5,4
206,21,1,0,0,1,0,1,Singapore,1206,L405-2,1,5,5,4,3,1,5,4
206,22,1,0,0,1,0,1,Singapore,1206,L410-2,1,5,5,4,3,1,5,4
206,23,0,0,1,0,0,1,Singapore,1206,L413-1,1,5,5,4,3,1,5,4
206,24,1,0,0,1,0,1,Singapore,1206,L414-2,1,5,5,4,3,1,5,4
206,25,0,0,1,0,0,1,Singapore,1206,L422-2,1,5,5,4,3,1,5,4
206,26,0,0,1,0,0,1,Singapore,1206,L424-1,1,5,5,4,3,1,5,4
206,27,0,0,1,0,0,1,Singapore,1206,L428-1,1,5,5,4,3,1,5,4
206,28,0,0,1,0,0,1,Singapore,1206,L430-1,1,5,5,4,3,1,5,4
206,29,1,0,0,1,0,1,Singapore,1206,L431-1,1,5,5,4,3,1,5,4
206,30,0,0,1,0,0,1,Singapore,1206,L433-1,1,5,5,4,3,1,5,4
206,31,0,0,1,0,0,1,Singapore,1206,L435-1,1,5,5,4,3,1,5,4
206,32,0,0,1,0,0,1,Singapore,1206,L438-1,1,5,5,4,3,1,5,4
206,33,0,0,1,0,0,1,Singapore,1206,L440-1,1,5,5,4,3,1,5,4
206,34,1,0,0,1,0,1,Singapore,1206,L441-1,1,5,5,4,3,1,5,4
206,35,0,0,1,0,0,1,Singapore,1206,L500-1x,1,5,5,4,3,1,5,4
206,36,1,0,0,1,0,1,Singapore,1206,L502-1,1,5,5,4,3,1,5,4
207,1,0,1,0,0,1,1,Singapore,1207,C10 P2 17,1,5,5,4,3,1,5,4
207,2,1,1,1,0,1,1,Singapore,1207,C2 P1 3,1,5,5,4,3,1,5,4
207,3,0,1,0,0,1,1,Singapore,1207,C2 P2 6,1,5,5,4,3,1,5,4
207,4,1,1,1,0,1,1,Singapore,1207,C23 P2 3,1,5,5,4,3,1,5,4
207,5,1,1,1,0,1,1,Singapore,1207,C28 P1 1,1,5,5,4,3,1,5,4
207,6,0,1,0,0,1,1,Singapore,1207,C29 P1 9,1,5,5,4,3,1,5,4
207,7,1,1,1,0,1,1,Singapore,1207,C29 P2 10,1,5,5,4,3,1,5,4
207,8,1,1,1,0,1,1,Singapore,1207,C3 P1 11,1,5,5,4,3,1,5,4
207,9,1,1,1,0,1,1,Singapore,1207,C3 P2 21,1,5,5,4,3,1,5,4
207,10,1,1,1,0,1,1,Singapore,1207,C33 P2 3,1,5,5,4,3,1,5,4
207,11,0,1,0,0,1,1,Singapore,1207,C34 P2 6,1,5,5,4,3,1,5,4
207,12,1,1,1,0,1,1,Singapore,1207,C39 P1 17,1,5,5,4,3,1,5,4
207,13,1,1,1,0,1,1,Singapore,1207,C39 P2 10,1,5,5,4,3,1,5,4
207,14,1,1,1,0,1,1,Singapore,1207,C4 P1 16,1,5,5,4,3,1,5,4
207,15,1,1,1,0,1,1,Singapore,1207,C4 P2 9,1,5,5,4,3,1,5,4
207,16,1,1,1,0,1,1,Singapore,1207,C5 P2 5,1,5,5,4,3,1,5,4
207,17,0,1,0,0,1,1,Singapore,1207,C6 P2 10,1,5,5,4,3,1,5,4
207,18,0,1,0,0,1,1,Singapore,1207,C8 P1 29,1,5,5,4,3,1,5,4
207,19,0,0,1,0,1,1,Singapore,1207,L396-1,1,5,5,4,3,1,5,4
207,20,0,0,1,0,1,1,Singapore,1207,L402-2,1,5,5,4,3,1,5,4
207,21,1,0,0,1,1,1,Singapore,1207,L405-2,1,5,5,4,3,1,5,4
207,22,0,0,1,0,1,1,Singapore,1207,L410-2,1,5,5,4,3,1,5,4
207,23,0,0,1,0,1,1,Singapore,1207,L413-1,1,5,5,4,3,1,5,4
207,24,0,0,1,0,1,1,Singapore,1207,L414-2,1,5,5,4,3,1,5,4
207,25,0,0,1,0,1,1,Singapore,1207,L422-2,1,5,5,4,3,1,5,4
207,26,0,0,1,0,1,1,Singapore,1207,L424-1,1,5,5,4,3,1,5,4
207,27,0,0,1,0,1,1,Singapore,1207,L428-1,1,5,5,4,3,1,5,4
207,28,1,0,0,1,1,1,Singapore,1207,L430-1,1,5,5,4,3,1,5,4
207,29,1,0,0,1,1,1,Singapore,1207,L431-1,1,5,5,4,3,1,5,4
207,30,0,0,1,0,1,1,Singapore,1207,L433-1,1,5,5,4,3,1,5,4
207,31,0,0,1,0,1,1,Singapore,1207,L435-1,1,5,5,4,3,1,5,4
207,32,0,0,1,0,1,1,Singapore,1207,L438-1,1,5,5,4,3,1,5,4
207,33,0,0,1,0,1,1,Singapore,1207,L440-1,1,5,5,4,3,1,5,4
207,34,1,0,0,1,1,1,Singapore,1207,L441-1,1,5,5,4,3,1,5,4
207,35,0,0,1,0,1,1,Singapore,1207,L500-1x,1,5,5,4,3,1,5,4
207,36,0,0,1,0,1,1,Singapore,1207,L502-1,1,5,5,4,3,1,5,4
208,1,0,1,0,0,1,1,Singapore,1208,C10 P2 17,1,5,5,4,3,1,5,4
