subject,hit_rate,country
5031,0.3888888888888889,South Africa/Zulu
5032,0.5833333333333334,South Africa/Zulu
5033,0.6944444444444444,South Africa/Zulu
5034,0.6388888888888888,South Africa/Zulu
5035,0.5555555555555556,South Africa/Zulu
5036,0.5555555555555556,South Africa/Zulu
5037,0.6388888888888888,South Africa/Zulu
5038,0.7222222222222222,South Africa/Zulu
5039,0.5833333333333334,South Africa/Zulu
5040,0.5555555555555556,South Africa/Zulu
5041,0.5555555555555556,South Africa/Zulu
5042,0.75,South Africa/Zulu
5043,0.6666666666666666,South Africa/Zulu
5044,0.6666666666666666,South Africa/Zulu
5045,0.5555555555555556,South Africa/Zulu
5046,0.6666666666666666,South Africa/Zulu
5047,0.6944444444444444,South Africa/Zulu
5048,0.5833333333333334,South Africa/Zulu
